X,Y,id,icon_url,furnizori2_DENUMIRE,furnizori2_E-MAIL,furnizori2_JUDET,furnizori2_FLAG,furnizori2_Adresa
24.3679426352804,45.1090578466285,"31",./3.png,S.C. DOLEX COM S.R.L. ,dolexcomsrl@yahoo.com  ,VALCEA,HARTIE DE COPIAT SI HARTIE GRAFICA,
23.6093893410665,46.7656925942344,"32",./3.png,S.C. LECOM BIROTICA ARDEAL S.R.L. ,"cluj@lecombirotica.ro, bucuresti@lecombirotica.ro ",CLUJ,HARTIE DE COPIAT SI HARTIE GRAFICA,
25.6180967550626,45.675434924573,"33",./0.png,C&A PHOENIX ART SRL,office@phoenixart.ro,BRASOV,"MOBILIER NOU DE INTERIOR SI EXTERIOR, SERVICII DE RENOVARE/RECONDITIONARE A MOBILIERULUI SI SERVICII DE COLECTARE SI RECICLARE",
21.2196135670134,45.7371710407172,"34",./0.png,SC GREENFOREST SRL,office@greenforest.ro,TIMISOARA,"MOBILIER NOU DE INTERIOR SI EXTERIOR, SERVICII DE RENOVARE/RECONDITIONARE A MOBILIERULUI SI SERVICII DE COLECTARE SI RECICLARE",
26.0453276629286,44.3977043501512,"35",./0.png,DAC TEHNOLOGY,panaitmarian@yahoo.com ,BUCURESTI,"MOBILIER NOU DE INTERIOR SI EXTERIOR, SERVICII DE RENOVARE/RECONDITIONARE A MOBILIERULUI SI SERVICII DE COLECTARE SI RECICLARE",
28.0177604766062,45.4526372402823,"36",./0.png,Asocierea CRICONS SRL & NEGRO SRL,cricons2020@yahoo.com,GALATI,"MOBILIER NOU DE INTERIOR SI EXTERIOR, SERVICII DE RENOVARE/RECONDITIONARE A MOBILIERULUI SI SERVICII DE COLECTARE SI RECICLARE",
24.5675550598893,46.5457428829589,"37",./0.png,CATTUS SRL,office@erond.ro ,MURES,"MOBILIER NOU DE INTERIOR SI EXTERIOR, SERVICII DE RENOVARE/RECONDITIONARE A MOBILIERULUI SI SERVICII DE COLECTARE SI RECICLARE",
21.2053678301876,45.7530811172785,"38",./0.png,TELETIM SRL,magda@magdadesign.ro,TIMIS ,"MOBILIER NOU DE INTERIOR SI EXTERIOR, SERVICII DE RENOVARE/RECONDITIONARE A MOBILIERULUI SI SERVICII DE COLECTARE SI RECICLARE",
23.5848112957053,46.761024242901,"39",./0.png,ANTARES ROMANIA SRL,cristian@scaune.ro,CLUJ,"MOBILIER NOU DE INTERIOR SI EXTERIOR, SERVICII DE RENOVARE/RECONDITIONARE A MOBILIERULUI SI SERVICII DE COLECTARE SI RECICLARE",
26.0413783235694,44.4344244930373,"40",./0.png,FOLDO,contact@foldo.ro,BUCURESTI,"MOBILIER NOU DE INTERIOR SI EXTERIOR, SERVICII DE RENOVARE/RECONDITIONARE A MOBILIERULUI SI SERVICII DE COLECTARE SI RECICLARE",
27.5948813086442,47.1438935699226,"41",./8.png,Fructe Deshidratate SRL,"fructedeshidratate@yahoo.com , 0741242859",IASI,ALIMENTE SI SERVICII DE CATERING,
26.4020772330299,46.9185146073578,"42",./13.png,"Fundatia de Dezvoltare Locala ""Speranta""","office@fundatiasperanta.ro, 0233791554",NEAMT,TEXTILE,
